Time:1, step:25, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:26, uav_id:0, uav_pos:[190.67754936 268.65133858 100.        ], uav_lab:7
Time:1, step:26, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:26, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:26, uav_id:3, uav_pos:[299.85558414 148.30668283 100.        ], uav_lab:5
Time:1, step:26, uav_id:4, uav_pos:[296.60149336 146.01932167 100.        ], uav_lab:5
Time:1, step:26, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:26, uav_id:6, uav_pos:[298.89367199 245.42780543 100.        ], uav_lab:8
Time:1, step:26, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:26, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:27, uav_id:0, uav_pos:[196.08057213 277.06604862 100.        ], uav_lab:7
Time:1, step:27, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:27, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:27, uav_id:3, uav_pos:[299.85558414 148.30668283 100.        ], uav_lab:5
Time:1, step:27, uav_id:4, uav_pos:[296.60149336 146.01932167 100.        ], uav_lab:5
Time:1, step:27, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:27, uav_id:6, uav_pos:[298.89367199 245.42780543 100.        ], uav_lab:8
Time:1, step:27, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:27, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:28, uav_id:0, uav_pos:[201.48359489 285.48075867 100.        ], uav_lab:8
Time:1, step:28, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:28, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:28, uav_id:3, uav_pos:[299.85558414 148.30668283 100.        ], uav_lab:5
Time:1, step:28, uav_id:4, uav_pos:[296.60149336 146.01932167 100.        ], uav_lab:5
Time:1, step:28, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:28, uav_id:6, uav_pos:[298.89367199 245.42780543 100.        ], uav_lab:8
Time:1, step:28, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:28, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:29, uav_id:0, uav_pos:[206.88661766 293.89546871 100.        ], uav_lab:8
Time:1, step:29, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:29, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:29, uav_id:3, uav_pos:[299.85558414 148.30668283 100.        ], uav_lab:5
Time:1, step:29, uav_id:4, uav_pos:[296.60149336 146.01932167 100.        ], uav_lab:5
Time:1, step:29, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:29, uav_id:6, uav_pos:[298.89367199 245.42780543 100.        ], uav_lab:8
Time:1, step:29, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:29, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:30, uav_id:0, uav_pos:[206.88661766 293.89546871 100.        ], uav_lab:8
Time:1, step:30, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:30, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:30, uav_id:3, uav_pos:[299.85558414 148.30668283 100.        ], uav_lab:5
Time:1, step:30, uav_id:4, uav_pos:[296.60149336 146.01932167 100.        ], uav_lab:5
Time:1, step:30, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:30, uav_id:6, uav_pos:[298.89367199 245.42780543 100.        ], uav_lab:8
Time:1, step:30, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:30, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:31, uav_id:0, uav_pos:[206.88661766 293.89546871 100.        ], uav_lab:8
Time:1, step:31, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:31, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:31, uav_id:3, uav_pos:[299.85558414 148.30668283 100.        ], uav_lab:5
Time:1, step:31, uav_id:4, uav_pos:[296.60149336 146.01932167 100.        ], uav_lab:5
Time:1, step:31, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:31, uav_id:6, uav_pos:[298.89367199 245.42780543 100.        ], uav_lab:8
Time:1, step:31, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:31, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:32, uav_id:0, uav_pos:[206.88661766 293.89546871 100.        ], uav_lab:8
Time:1, step:32, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:32, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:32, uav_id:3, uav_pos:[299.85558414 148.30668283 100.        ], uav_lab:5
